,Unnamed: 0.1,GF,GA,xG,xGA,Poss,Attendance,Sh,SoT,Dist,FK,PK,PKatt,Season,Venue_code,opp_code,team_code,formation,hour,day_code,target
25,25,2,0,2.4,0.4,46.0,60111.0,20.0,6.0,16.2,0.0,1.0,1.0,2021,1,9,0,8,16,6,1
26,26,0,2,0.5,0.8,49.0,59968.0,9.0,2.0,22.5,0.0,0.0,0.0,2021,1,10,0,8,20,2,0
27,27,1,0,1.3,0.5,53.0,41956.0,10.0,3.0,19.5,0.0,0.0,0.0,2021,0,1,0,8,12,5,1
28,28,0,3,0.8,1.5,68.0,25149.0,12.0,3.0,18.5,0.0,0.0,0.0,2021,0,6,0,8,20,0,0
29,29,1,2,1.9,0.6,64.0,60112.0,20.0,4.0,16.7,2.0,0.0,0.0,2021,1,3,0,8,15,5,0
30,30,0,1,1.7,0.8,75.0,31465.0,23.0,6.0,18.3,1.0,0.0,0.0,2021,0,15,0,8,15,5,0
31,31,4,2,2.0,0.7,33.0,32249.0,13.0,3.0,19.5,0.0,1.0,1.0,2021,0,5,0,8,19,2,1
32,32,3,1,2.3,1.8,54.0,60223.0,13.0,6.0,19.3,1.0,1.0,1.0,2021,1,12,0,8,12,5,1
33,33,2,1,0.9,0.5,43.0,59959.0,13.0,7.0,19.3,0.0,0.0,0.0,2021,0,18,0,8,16,6,1
34,34,2,1,2.0,0.3,64.0,60108.0,19.0,9.0,14.3,2.0,0.0,0.0,2021,1,8,0,8,14,6,1
35,35,0,3,0.5,2.7,43.0,62027.0,9.0,5.0,24.0,0.0,0.0,0.0,2021,0,16,0,11,19,3,0
36,36,0,2,0.6,1.6,49.0,52274.0,11.0,2.0,21.1,0.0,0.0,0.0,2021,0,13,0,8,20,0,0
37,37,5,1,4.2,1.1,73.0,60201.0,25.0,8.0,17.0,1.0,1.0,1.0,2021,1,7,0,8,16,6,1
38,38,2,3,1.2,1.2,62.0,20051.0,10.0,1.0,22.8,1.0,1.0,1.0,2021,0,17,1,8,15,5,0
39,39,2,0,1.2,0.7,47.0,41964.0,9.0,1.0,19.5,0.0,1.0,1.0,2021,1,13,1,11,15,5,1
40,40,1,1,0.7,0.9,46.0,42045.0,7.0,5.0,13.8,0.0,0.0,0.0,2021,1,2,1,6,15,5,0
41,41,0,3,1.2,1.3,43.0,39969.0,18.0,6.0,18.6,0.0,0.0,0.0,2021,0,5,1,15,17,5,0
42,42,3,0,0.8,0.7,55.0,41888.0,15.0,3.0,19.3,1.0,0.0,0.0,2021,1,7,1,15,17,5,1
43,43,1,0,1.0,2.2,41.0,72922.0,7.0,3.0,14.1,1.0,0.0,0.0,2021,0,12,1,4,12,5,1
44,44,1,2,1.2,1.3,44.0,53076.0,14.0,3.0,18.0,0.0,0.0,0.0,2021,0,16,1,4,14,6,0
45,45,2,3,1.0,2.0,48.0,41951.0,14.0,5.0,18.0,0.0,0.0,0.0,2021,1,19,1,2,15,5,0
46,46,1,3,1.4,2.7,47.0,59496.0,10.0,4.0,17.2,1.0,0.0,0.0,2021,0,0,1,2,20,4,0
